base,date,currency,rate
USD,2008-12-31,AUD,1.4567794783
USD,2008-12-31,BGN,1.4053316088
USD,2008-12-31,BRL,2.3306747144
USD,2008-12-31,CAD,1.2213839189
USD,2008-12-31,CHF,1.0670403104
USD,2008-12-31,CNY,6.8230222031
USD,2008-12-31,CZK,19.3109147086
USD,2008-12-31,DKK,5.353596321
USD,2008-12-31,EEK,11.2427965797
USD,2008-12-31,EUR,0.7185456636
USD,2008-12-31,GBP,0.6844147446
USD,2008-12-31,HKD,7.7500898182
USD,2008-12-31,HRK,5.2852626284
USD,2008-12-31,HUF,191.636128476
USD,2008-12-31,IDR,10950.0035927283
USD,2008-12-31,ILS,-
USD,2008-12-31,INR,-
USD,2008-12-31,ISK,-
USD,2008-12-31,JPY,90.6373500036
USD,2008-12-31,KRW,1321.4988862542
USD,2008-12-31,LTL,2.4809944672
USD,2008-12-31,LVL,0.5089458935
USD,2008-12-31,MXN,13.8200043113
USD,2008-12-31,MYR,3.4524682044
USD,2008-12-31,NOK,7.0058202199
USD,2008-12-31,NZD,1.7382338148
USD,2008-12-31,PHP,47.3737155996
USD,2008-12-31,PLN,2.9844794137
USD,2008-12-31,RON,2.8903499317
USD,2008-12-31,RUB,29.6637206294
USD,2008-12-31,SEK,7.8105913631
USD,2008-12-31,SGD,1.4399655098
USD,2008-12-31,SKK,21.6469066609
USD,2008-12-31,THB,34.6949773658
USD,2008-12-31,TRY,1.5440109219
USD,2008-12-31,USD,1.0
USD,2008-12-31,ZAR,9.3890206223
USD,2009-01-02,AUD,1.4340112505
USD,2009-01-02,BGN,1.4105005048
USD,2009-01-02,BRL,2.3406894562
USD,2009-01-02,CAD,1.2218375883
USD,2009-01-02,CHF,1.0726958027
USD,2009-01-02,CNY,6.8230203375
USD,2009-01-02,CZK,19.3458820136
USD,2009-01-02,DKK,5.3727823453
USD,2009-01-02,EEK,11.2841482764
USD,2009-01-02,EUR,0.7211885187
USD,2009-01-02,GBP,0.6930621665
USD,2009-01-02,HKD,7.7507572479
USD,2009-01-02,HRK,5.2896293091
USD,2009-01-02,HUF,191.4611279388
USD,2009-01-02,IDR,11100.0
USD,2009-01-02,ILS,-
USD,2009-01-02,INR,48.4097793163
USD,2009-01-02,ISK,-
USD,2009-01-02,JPY,91.3313140055
